Time,SpeedMotor,ErrorValue,SensorAccelerometer
0.07246780395507812,1,nan,nan
0.1020498275756836,1,nan,nan
0.13273167610168457,1,nan,nan
0.15604543685913086,1,2.18,2.18
0.17267751693725586,1,2.18,2.18
0.19285297393798828,1,2.18,2.18
0.21932077407836914,1,2.18,2.18
0.2723829746246338,1,0.01,0.01
0.31937336921691895,1,0.01,0.01
0.3520016670227051,1,0.01,0.01
0.37752771377563477,1,0.01,0.01
0.4019591808319092,1,0.01,0.01
0.43300557136535645,1,0.01,0.01
0.4641761779785156,1,0.01,0.01
0.4915170669555664,1,0.01,0.01
0.5227229595184326,1,0.01,0.01
0.5785763263702393,1,0.01,0.01
0.6292846202850342,1,0.01,0.01
0.6573851108551025,1,0.01,0.01
0.6802158355712891,1,0.01,0.01
0.6974735260009766,1,0.01,0.01
0.7158639430999756,1,0.01,0.01
0.7363152503967285,1,0.01,0.01
0.7700488567352295,1,0.0,0.0
0.7982594966888428,1,0.0,0.0
0.8276784420013428,1,0.0,0.0
0.874955415725708,1,0.0,0.0
0.9312899112701416,1,0.0,0.0
0.9509267807006836,1,0.0,0.0
0.9829580783843994,1,0.0,0.0
1.0132367610931396,1.0,0.0,0.0
1.0505924224853516,1.0,0.0,0.0
1.0769057273864746,1.0,0.0,0.0
1.1082067489624023,1.0,0.0,0.0
1.1401832103729248,1.0,0.0,0.0
1.1914598941802979,1.0,0.0,0.0
1.247300148010254,1.0,0.0,0.0
1.278972864151001,1.0,0.0,0.0
1.3096861839294434,1.0,0.0,0.0
1.3596301078796387,1.0,0.0,0.0
1.3766131401062012,1.0,0.0,0.0
1.4166884422302246,1.0,0.0,0.0
1.43741774559021,1.0,0.0,0.0
1.482534646987915,1.0,0.0,0.0
1.5382397174835205,1.0,0.0,0.0
1.588174819946289,1.0,0.0,0.0
1.6082100868225098,1.0,0.0,0.0
1.6314241886138916,1.0,0.0,0.0
1.6460976600646973,1.0,0.0,0.0
1.665457010269165,1.0,0.0,0.0
1.6872994899749756,1.0,0.0,0.0
1.7313954830169678,1.0,0.0,0.0
1.75779128074646,1.0,0.0,0.0
1.7890088558197021,1.0,0.0,0.0
1.8367631435394287,1.0,0.0,0.0
1.8766300678253174,1.0,0.0,0.0
1.9137773513793945,1.0,0.0,0.0
1.9444499015808105,1.0,0.0,0.0
1.9653606414794922,1.0,0.0,0.0
1.9884412288665771,1.0,0.0,0.0
2.005171298980713,1.0,0.0,0.0
2.037811040878296,1.0,0.0,0.0
2.0685107707977295,1.0,0.0,0.0
2.104262113571167,1.0,0.0,0.0
2.153740406036377,1.0,0.0,0.0
2.1902387142181396,1.0,0.0,0.0
2.2253639698028564,1.0,0.0,0.0
2.2607359886169434,1.0,0.0,0.0
2.277684450149536,1.0,0.0,0.0
2.297485828399658,1.0,0.0,0.0
2.317943811416626,1.0,0.0,0.0
2.354680061340332,1.0,0.0,0.0
2.3774960041046143,1.0,0.0,0.0
2.4063522815704346,1.0,0.0,0.0
2.4343132972717285,1.0,0.0,0.0
