Time,SpeedMotor,ErrorValue,SensorAccelerometer
0.02435922622680664,1,nan,nan
0.06049323081970215,1,nan,nan
0.08807897567749023,1,nan,nan
0.11379766464233398,1,2.31,2.31
0.12658095359802246,1,2.31,2.31
0.1470334529876709,1,2.31,2.31
0.16556310653686523,1,2.31,2.31
0.2045881748199463,1,0.01,0.01
0.22771310806274414,1,0.01,0.01
0.25961780548095703,1,0.01,0.01
0.2922244071960449,1,0.01,0.01
0.35295939445495605,1,0.01,0.01
0.3994927406311035,1,0.01,0.01
0.41601061820983887,1,0.01,0.01
0.44863462448120117,1,0.01,0.01
0.4862189292907715,1,0.01,0.01
0.510800838470459,1,0.01,0.01
0.5431380271911621,1,0.01,0.01
0.5735592842102051,1,0.01,0.01
0.6123573780059814,1,0.01,0.01
0.667311429977417,1,0.01,0.01
0.697495698928833,1,0.01,0.01
0.7299599647521973,1,0.01,0.01
0.7673463821411133,1,0.0,0.0
0.7908833026885986,1,0.0,0.0
0.8114266395568848,1,0.0,0.0
0.8379991054534912,1,0.0,0.0
0.8763320446014404,1,0.0,0.0
0.8997421264648438,1,0.0,0.0
0.9312849044799805,1,0.0,0.0
0.9857714176177979,1,0.0,0.0
1.0225160121917725,1.0,0.0,0.0
1.042048454284668,1.0,0.0,0.0
1.0735275745391846,1.0,0.0,0.0
1.1030724048614502,1.0,0.0,0.0
1.1449823379516602,1.0,0.0,0.0
1.1765999794006348,1.0,0.0,0.0
1.2079815864562988,1.0,0.0,0.0
1.228996992111206,1.0,0.0,0.0
1.2710537910461426,1.0,0.0,0.0
1.3259966373443604,1.0,0.0,0.0
1.372664213180542,1.0,0.0,0.0
1.3943064212799072,1.0,0.0,0.0
1.424448013305664,1.0,0.0,0.0
1.4440412521362305,1.0,0.0,0.0
1.469052791595459,1.0,0.0,0.0
1.4919657707214355,1.0,0.0,0.0
1.5186681747436523,1.0,0.0,0.0
1.5517053604125977,1.0,0.0,0.0
1.5816404819488525,1.0,0.0,0.0
1.6361510753631592,1.0,0.0,0.0
1.6841793060302734,1.0,0.0,0.0
1.6994152069091797,1.0,0.0,0.0
1.7194287776947021,1.0,0.0,0.0
1.738572597503662,1.0,0.0,0.0
1.7661807537078857,1.0,0.0,0.0
1.7977328300476074,1.0,0.0,0.0
1.8306996822357178,1.0,0.0,0.0
1.8617303371429443,1.0,0.0,0.0
1.9001696109771729,1.0,0.0,0.0
1.9538161754608154,1.0,0.0,0.0
1.9953773021697998,1.0,0.0,0.0
2.0260019302368164,1.0,0.0,0.0
2.0538337230682373,1.0,0.0,0.0
2.069701910018921,1.0,0.0,0.0
2.090557098388672,1.0,0.0,0.0
2.1249783039093018,1.0,0.0,0.0
2.1686856746673584,1.0,0.0,0.0
2.1917028427124023,1.0,0.0,0.0
2.223592758178711,1.0,0.0,0.0
2.2786331176757812,1.0,0.0,0.0
2.3253111839294434,1.0,0.0,0.0
2.339806318283081,1.0,0.0,0.0
2.361001491546631,1.0,0.0,0.0
2.3805906772613525,1.0,0.0,0.0
2.4088833332061768,1.0,0.0,0.0
2.431533098220825,1.0,0.0,0.0
2.4630751609802246,1.0,0.0,0.0
2.4936110973358154,1.0,0.0,0.0
2.5320045948028564,1.0,0.0,0.0
2.586500883102417,1.0,0.0,0.0
2.628847599029541,1.0,0.0,0.0
2.6530470848083496,1.0,0.0,0.0
2.6896989345550537,1.0,0.0,0.0
2.715872287750244,1.0,0.0,0.0
2.735133409500122,1.0,0.0,0.0
2.759763479232788,1.0,0.0,0.0
2.7984607219696045,1.0,0.0,0.0
2.830796957015991,1.0,0.0,0.0
2.8613927364349365,1.0,0.0,0.0
2.9167773723602295,1.0,0.0,0.0
2.9634017944335938,1.0,0.0,0.0
2.9847769737243652,1.0,0.0,0.0
3.0156095027923584,1.0,0.0,0.0
3.0471372604370117,1.0,0.0,0.0
3.0737192630767822,1.0,0.0,0.0
3.0951552391052246,1.0,0.0,0.0
3.1262760162353516,1.0,0.0,0.0
3.1582987308502197,1.0,0.0,0.0
3.1960020065307617,1.0,0.0,0.0
3.249005079269409,1.0,0.0,0.0
3.296435832977295,1.0,0.0,0.0
3.3276994228363037,1.0,0.0,0.0
3.365692615509033,1.0,0.0,0.0
3.390162467956543,1.0,0.0,0.0
3.4101967811584473,1.0,0.0,0.0
3.436385154724121,1.0,0.0,0.0
3.4743714332580566,1.0,0.0,0.0
3.4929394721984863,1.0,0.0,0.0
3.5286712646484375,1.0,0.0,0.0
3.581658124923706,1.0,0.0,0.0
3.629568576812744,1.0,0.0,0.0
3.6522200107574463,1.0,0.0,0.0
3.6828255653381348,1.0,0.0,0.0
3.7134833335876465,1.0,0.0,0.0
3.7416231632232666,1.0,0.0,0.0
3.761244297027588,1.0,0.0,0.0
3.7927675247192383,1.0,0.0,0.0
3.8233659267425537,1.0,0.0,0.0
3.863325595855713,1.0,0.0,0.0
3.9179000854492188,1.0,0.0,0.0
3.9627161026000977,1.0,0.0,0.0
3.9939842224121094,1.0,0.0,0.0
4.0316994190216064,1.0,0.0,0.0
4.070898771286011,1.0,0.0,0.0
4.091057777404785,1.0,0.0,0.0
4.118086814880371,1.0,0.0,0.0
4.15666127204895,1.0,0.0,0.0
4.180665731430054,1.0,0.0,0.0
4.234017372131348,1.0,0.0,0.0
4.2759950160980225,1.0,0.0,0.0
4.328167200088501,1.0,0.0,0.0
4.351633310317993,1.0,0.0,0.0
4.372227907180786,1.0,0.0,0.0
4.392014741897583,1.0,0.0,0.0
4.418567419052124,1.0,0.0,0.0
4.431073188781738,1.0,0.0,0.0
4.477529764175415,1.0,0.0,0.0
4.524458408355713,1.0,0.0,0.0
4.58474588394165,1.00666,0.37,0.37
4.6338255405426025,1.00666,0.37,0.37
4.655359983444214,1.00666,0.37,0.37
4.673650503158569,1.00666,0.37,0.37
4.6993021965026855,1.02556,1.42,1.42
4.711819887161255,1.02556,1.42,1.42
4.732263565063477,1.02556,1.42,1.42
